id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
code-fix-sort-order-bug,code_review,tau:0.0,101,0.198,5,97,1.0412,0.4158,pass
code-fix-sort-order-bug,code_review,tau:1.5,101,0.198,5,97,1.0412,0.4158,pass
code-fix-sort-order-bug,code_review,tau:3.0,48,0.6667,3,32,1.5,0.4158,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",101,0.198,5,97,1.0412,0.4158,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",48,0.6667,3,32,1.5,0.4158,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,101,0.198,5,97,1.0412,0.4158,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=3.0,101,0.198,5,97,1.0412,0.4158,pass
code-fix-dedupe-condition-bug,code_review,tau:0.0,18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,tau:1.5,18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,tau:3.0,18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,18,0.1667,1,20,0.9,0.0,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=3.0,18,0.1667,1,20,0.9,0.0,pass
doc-change-decade,doc_summary,tau:0.0,76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,tau:1.5,76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,tau:3.0,76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,76,0.9474,1,14,5.4286,0.9868,pass
doc-change-decade,doc_summary,entropy_scaled:tau=3.0,76,0.9474,1,14,5.4286,0.9868,pass
doc-change-shrink-fraction,doc_summary,tau:0.0,75,0.9333,1,14,5.3571,0.9733,pass
doc-change-shrink-fraction,doc_summary,tau:1.5,75,0.9467,1,13,5.7692,0.9733,pass
doc-change-shrink-fraction,doc_summary,tau:3.0,75,0.9467,1,13,5.7692,0.9733,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",75,0.9467,1,13,5.7692,0.9733,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",75,0.9467,1,13,5.7692,0.9733,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,75,0.9467,1,13,5.7692,0.9733,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=3.0,75,0.9467,1,13,5.7692,0.9733,pass
fact-third-country-overtakes,fact_answer,tau:0.0,85,0.3059,8,94,0.9043,0.4353,pass
fact-third-country-overtakes,fact_answer,tau:1.5,109,0.7798,3,43,2.5349,0.4353,pass
fact-third-country-overtakes,fact_answer,tau:3.0,109,0.7798,3,43,2.5349,0.4353,pass
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",109,0.7798,3,43,2.5349,0.4353,pass
