id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
code-fix-sort-order-bug,code_review,tau:0.0,210,0.0238,4,215,0.9767,0.3421,pass
code-fix-sort-order-bug,code_review,tau:1.5,210,0.0238,4,215,0.9767,0.3421,pass
code-fix-sort-order-bug,code_review,tau:3.0,144,0.4097,4,103,1.3981,0.3421,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",210,0.0238,4,215,0.9767,0.3421,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",144,0.4097,4,103,1.3981,0.3421,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,210,0.0238,4,215,0.9767,0.3421,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=3.0,210,0.0238,4,215,0.9767,0.3421,pass
code-fix-dedupe-condition-bug,code_review,tau:0.0,112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,tau:1.5,112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,tau:3.0,112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,112,0.0179,2,115,0.9739,0.0,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=3.0,112,0.0179,2,115,0.9739,0.0,pass
doc-change-decade,doc_summary,tau:0.0,72,0.8889,2,21,3.4286,0.6842,pass
doc-change-decade,doc_summary,tau:1.5,72,0.9444,1,13,5.5385,0.6842,pass
doc-change-decade,doc_summary,tau:3.0,72,0.9444,1,13,5.5385,0.6842,pass
doc-change-decade,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",72,0.9444,1,13,5.5385,0.6842,pass
doc-change-decade,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",72,0.9444,1,13,5.5385,0.6842,pass
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,72,0.9444,1,13,5.5385,0.6842,pass
doc-change-decade,doc_summary,entropy_scaled:tau=3.0,72,0.9444,1,13,5.5385,0.6842,pass
doc-change-shrink-fraction,doc_summary,tau:0.0,71,0.4225,7,71,1.0,0.5195,pass
doc-change-shrink-fraction,doc_summary,tau:1.5,81,0.9506,1,13,6.2308,0.5195,pass
doc-change-shrink-fraction,doc_summary,tau:3.0,81,0.9506,1,13,6.2308,0.5195,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",81,0.9506,1,13,6.2308,0.5195,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",81,0.9506,1,13,6.2308,0.5195,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,81,0.9383,1,14,5.7857,0.5195,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=3.0,81,0.9383,1,14,5.7857,0.5195,pass
fact-third-country-overtakes,fact_answer,tau:0.0,30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,tau:1.5,30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,tau:3.0,30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.5,30,0.5333,3,29,1.0345,0.7333,pass
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=3.0,30,0.5333,3,29,1.0345,0.7333,pass
fact-change-capital-value,fact_answer,tau:0.0,30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,tau:1.5,30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,tau:3.0,30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=1.5,30,0.5333,2,24,1.25,0.6333,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=3.0,30,0.5333,2,24,1.25,0.6333,FAIL
code-rename-var,code_review,tau:0.0,255,0.6902,13,151,1.6887,0.7337,pass
code-rename-var,code_review,tau:1.5,273,0.8645,8,89,3.0674,0.7337,pass
code-rename-var,code_review,tau:3.0,273,0.8645,8,89,3.0674,0.7337,pass
code-rename-var,code_review,"confidence_gated:tau=1.5,p_cut=0.9",273,0.8645,8,89,3.0674,0.7337,pass
code-rename-var,code_review,"confidence_gated:tau=3.0,p_cut=0.9",273,0.8645,8,89,3.0674,0.7337,pass
code-rename-var,code_review,entropy_scaled:tau=1.5,189,0.6772,9,111,1.7027,0.7337,pass
code-rename-var,code_review,entropy_scaled:tau=3.0,189,0.6772,9,111,1.7027,0.7337,pass
code-introduce-bug,code_review,tau:0.0,113,0.531,3,71,1.5915,0.5575,FAIL
code-introduce-bug,code_review,tau:1.5,106,0.5849,3,62,1.7097,0.5575,pass
code-introduce-bug,code_review,tau:3.0,106,0.5849,3,62,1.7097,0.5575,pass
code-introduce-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",106,0.5849,3,62,1.7097,0.5575,pass
