id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct,http_calls,chunk_calls,wasted_tokens
code-fix-sort-order-bug,code_review,tau:0.0,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,tau:3.0,150,0.3933,4,109,1.3761,0.3421,pass,10,8,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.75,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.0,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.25,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.5,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=2.75,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,entropy_scaled:tau=3.0,149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.0,floor=0.5",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.0,floor=1.0",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=2.5,floor=0.75",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=0.5",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",152,0.3882,3,111,1.3694,0.3421,pass,10,8,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=1.5,p_cut=0.9",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.9",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.8",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-sort-order-bug,code_review,"gated_entropy:tau=3.0,p_cut=0.9",149,0.2685,5,130,1.1462,0.3421,pass,14,11,0
code-fix-dedupe-condition-bug,code_review,tau:0.0,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,tau:3.0,201,0.1443,6,192,1.0469,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.75,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.0,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.25,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.5,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=2.75,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=3.0,206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.0,floor=0.5",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.0,floor=1.0",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=2.5,floor=0.75",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=0.5",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=1.5,p_cut=0.9",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.9",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=2.0,p_cut=0.8",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
code-fix-dedupe-condition-bug,code_review,"gated_entropy:tau=3.0,p_cut=0.9",206,0.1214,6,201,1.0249,0.0,pass,15,12,0
doc-change-decade,doc_summary,tau:0.0,72,0.8889,2,21,3.4286,0.6842,pass,5,2,0
doc-change-decade,doc_summary,tau:3.0,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=1.75,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.0,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.25,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.5,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=2.75,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,entropy_scaled:tau=3.0,72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.0,floor=0.5",72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.0,floor=1.0",72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=2.5,floor=0.75",72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=0.5",72,0.9444,1,13,5.5385,0.6842,pass,3,1,0
